0,1,1
1,-1,2
2,1,6
4,-1,30
6,1,42
8,-1,30
10,5,66
12,-691,2730
14,7,6
16,-3617,510
18,43867,798
20,-174611,330
22,854513,138
24,-236364091,2730
26,8553103,6
28,-23749461029,870
30,8615841276005,14322
32,-7709321041217,510
34,2577687858367,6
36,-26315271553053477373,1919190
38,2929993913841559,6
40,-261082718496449122051,13530
42,1520097643918070802691,1806
44,-27833269579301024235023,690
46,596451111593912163277961,282
48,-5609403368997817686249127547,46410
50,495057205241079648212477525,66
52,-801165718135489957347924991853,1590
54,29149963634884862421418123812691,798
56,-2479392929313226753685415739663229,870
58,84483613348880041862046775994036021,354
60,-1215233140483755572040304994079820246041491,56786730
62,12300585434086858541953039857403386151,6
64,-106783830147866529886385444979142647942017,510
66,1472600022126335654051619428551932342241899101,64722
68,-78773130858718728141909149208474606244347001,30
70,1505381347333367003803076567377857208511438160235,4686
72,-5827954961669944110438277244641067365282488301844260429,140100870
74,34152417289221168014330073731472635186688307783087,6
76,-24655088825935372707687196040585199904365267828865801,30
78,414846365575400828295179035549542073492199375372400483487,3318
80,-4603784299479457646935574969019046849794257872751288919656867,230010
82,1677014149185145836823154509786269900207736027570253414881613,498
84,-2024576195935290360231131160111731009989917391198090877281083932477,3404310
86,660714619417678653573847847426261496277830686653388931761996983,6
88,-1311426488674017507995511424019311843345750275572028644296919890574047,61410
90,1179057279021082799884123351249215083775254949669647116231545215727922535,272118
92,-1295585948207537527989427828538576749659341483719435143023316326829946247,1410
94,1220813806579744469607301679413201203958508415202696621436215105284649447,6
96,-211600449597266513097597728109824233673043954389060234150638733420050668349987259,4501770
98,67908260672905495624051117546403605607342195728504487509073961249992947058239,6
100,-94598037819122125295227433069493721872702841533066936133385696204311395415197247711,33330
102,3204019410860907078243020782116241775491817197152717450679002501086861530836678158791,4326
104,-319533631363830011287103352796174274671189606078272738327103470162849568365549721224053,1590
106,36373903172617414408151820151593427169231298640581690038930816378281879873386202346572901,642
108,-3469342247847828789552088659323852541399766785760491146870005891371501266319724897592306597338057,209191710
110,7645992940484742892248134246724347500528752413412307906683593870759797606269585779977930217515,1518
112,-2650879602155099713352597214685162014443151499192509896451788427680966756514875515366781203552600109,1671270
114,21737832319369163333310761086652991475721156679090831360806110114933605484234593650904188618562649,42
116,-309553916571842976912513458033841416869004128064329844245504045721008957524571968271388199595754752259,1770
118,366963119969713111534947151585585006684606361080699204301059440676414485045806461889371776354517095799,6
120,-51507486535079109061843996857849983274095170353262675213092869167199297474922985358811329367077682677803282070131,2328255930
